UUID,Qty,Self sourced,Value,Device,Package,Parts,Description
R-2019-14,1,,GREEN,LEDCHIP-LED0805,CHIP-LED0805,LED1,Green LED
,8,Y,,PINHD-1X1,1X01,"JP3, JP4, ISP1",Pin Header
R-2019-01,6,,100nF,C-USC0805,C0805,"C7, C8, C10, C11, C12, C19","Capacitor, EU Symbol"
R-2019-23,1,,,MICRO USB,C77238,J2,Micro USB Connector
R-2019-05,3,,1kR,R-EU_R0805,R0805,"R3, R37, R39","Resistor, EU Symbol"
L-2020-48,1,,ATMEGA328PB-AU,ATMEGA328PB-AU,QFP80P900X900X120-32N,U1,"ATmega Series 8-Bit Microcontroller
"
,1,Y,MCP4822-E/MS,MCP4822-E/MS,SOP65P490X110-8N,U3,Digital to Analog Converter
R-2019-07,4,,MOMENTARY-SWITCH-SPST-PTH-6.0MM,MOMENTARY-SWITCH-SPST-PTH-6.0MM,TACTILE_SWITCH_PTH_6.0MM,"B1, B2, B3, B4",Momentary Switch (Pushbutton)
L-2020-26,2,,10k,POT,PC16S,"POT1, POT2",10k Potentiometer
L-2020-56,1,,128x64,OLED,52101-101-REV-A_v16,U2,128x64 OLED Display
R-2019-21,2,,10uF,C-USC0805,C0805,"C18, C19","Capacitor, EU Symbol"
,1,Y,AD8221ARMZ-RL,AD8221ARMZ-RL,AD8221ARMZ-RL,U5,Instrumentation Amplifier
R-2019-22,2,,SS34,DIODE-DO-214AC,DO-214AC,"D1, D3",Schottkey 40V 3A Diode
,2,Y,1uF,C-POLARIZED,UVR2A010MDD1TD,"C1, C2","Polarized Capacitor, EU Symbol"
,1,Y,50kR,R-EU_R0805,R0805,R27,"Resistor, EU Symbol"
R-2019-64,1,,2kR,R-EU_R0805,R0805,R38,"Resistor, EU Symbol"
R-2019-03,6,,10kR,R-EU_R0805,R0805,"R25, R33, R34, R35, R36, R40","Resistor, EU Symbol"
