"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"BOM";"DESCRIPTION";"LABEL";"MF";"MP";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"2";"";"MOSFET-NREFLOW";"SOT23";"Q1, Q2";"N-Channel Mosfet";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"PINHD-1X1";"1X01";"JP3, JP4";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"SJ";"SJ";"SJ1";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"";"";"";
"4";"0.1uF";"C-EUC0805";"C0805";"C7, C8, C10, C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"88";"";"";"C";
"1";"0R";"R-EU_R0805";"R0805";"R26";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"";"R";
"2";"100nF";"C-EUC0805";"C0805";"C12, C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"88";"";"";"C";
"6";"10kR";"R-EU_R0805";"R0805";"R25, R33, R34, R35, R36, R40";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"";"R";
"2";"10uF";"C-EUC0805";"C0805";"C9, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"88";"";"";"C";
"9";"1kR";"R-EU_R0805";"R0805";"R3, R4, R22, R28, R29, R30, R31, R37, R39";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"";"R";
"2";"1uF";"CPOL-EUE2,5-6E";"E2,5-6E";"C1, C2";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"27";"";"";"C";
"1";"2V";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";
"1";"2kR";"R-EU_R0805";"R0805";"R38";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"";"R";
"1";"50kR";"R-EU_R0805";"R0805";"R27";"RESISTOR, European symbol";"";"";"";"";"";"";"";"86";"";"";"R";
"1";"AD8221ARMZ-RL";"AD8221ARMZ-RL";"SOP65P490X110-8N";"U5";"Precision Instrumentation Amplifier Check prices";"Warning";"";" Instrumentation Amplifier 1 Circuit 8-MSOP ";"";"Analog Devices";"AD8221ARMZ-RL";"MSOP-8 Analog Devices";"";"None";"https://pricing.snapeda.com/search/part/AD8221ARMZ-RL/?ref=eda";"";
"1";"ATMEGA328PB-AU";"ATMEGA328PB-AU";"QFP80P900X900X120-32N";"U1";"ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - TQFP-32 Check prices";"Good";"";" 8-bit Microcontrollers - MCU ATMEGA328PB 20MHZ IND TEMP ";"";"Microchip Technology / Atmel";"ATMEGA328PB-AU";"None";"";"None";"https://pricing.snapeda.com/search/part/ATMEGA328PB-AU/?ref=eda";"";
"1";"AVRISP-6";"AVRISP-6";"AVRISP";"ISP1";"AVR ISP HEADER";"";"";"";"";"";"";"";"";"";"";"";
"1";"C77238SMD";"C77238SMD";"C77238";"J2";"Micro USB connector with part number C77328";"";"";"";"";"";"";"";"";"";"";"";
"1";"DISPLAY-OLED-128X64-I2C";"DISPLAY-OLED-128X64-I2C";"DISPLAY-OLED-128X64-I2C";"U$2";"128x64 Dot Matrix OLED Module based on SSD1306 chip";"";"";"";"";"";"";"";"";"";"";"";
"4";"EVP-BFAC1A000SMD";"EVP-BFAC1A000SMD";"EVP-BFAC1A000";"S1, S2, S3, S4";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"F1, F2, F3";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP4822-E/MS";"MCP4822-E/MS";"SOP65P490X110-8N";"U$3";"Check prices";"Good";"";" 12 Bit Digital to Analog Converter 2 8-MSOP ";"";"Microchip";"MCP4822-E/MS";"MSOP-8 Microchip";"";"None";"https://pricing.snapeda.com/search/part/MCP4822-E/MS/?ref=eda";"";
"2";"RK09K1130A5R";"RK09K1130A5R";"RK09K1130A5R";"POT1, POT2";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"SS34";"DIODE-DO-214AC";"DO-214AC";"D1, D3";"DIODE";"";"";"";"";"";"";"";"25";"";"";"";
"8";"TESTPOINT_TPS-PAD-036";"TESTPOINT_TPS-PAD-036";"TESTPOINT_PAD-036";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8";"TEST POINT PAD";"";"EXCLUDE";"";"";"";"";"";"";"";"";"";
