C10, 10.91, 41.03, 90.00, 0.1uF, C0805
C11, 10.92, 53.92, 90.00, 0.1uF, C0805
C12, 21.15, 52.62, 0.00, 100nF, C0805
C18, 45.98, 72.59, 0.00, 10uF, C0805
C19, 34.18, 55.80, 180.00, 100nF, C0805
C7, 10.93, 28.80, 90.00, 0.1uF, C0805
C8, 10.92, 16.69, 90.00, 0.1uF, C0805
C9, 62.91, 77.79, 90.00, 10uF, C0805
D1, 45.15, 53.20, 180.00, SS34, DO-214AC
D3, 45.14, 56.41, 0.00, SS34, DO-214AC
F1, 64.00, 14.74, 0.00, FIDUCIAL, FIDUCIAL_1MM
F2, 1.91, 12.92, 0.00, FIDUCIAL, FIDUCIAL_1MM
F3, 2.50, 90.52, 0.00, FIDUCIAL, FIDUCIAL_1MM
J2, 67.67, 77.46, 90.00, C77238SMD, C77238
LED1, 61.59, 64.86, 180.00, 2V, CHIP-LED0805
Q1, 28.89, 37.00, 0.00, , SOT23
Q2, 33.90, 37.04, 0.00, , SOT23
R22, 45.99, 68.52, 0.00, 1kR, R0805
R25, 26.18, 56.42, 180.00, 10kR, R0805
R26, 35.00, 60.99, 180.00, 0R, R0805
R27, 26.93, 72.12, 90.00, 50kR, R0805
R28, 28.91, 66.07, 90.00, 1kR, R0805
R29, 27.92, 69.10, 180.00, 1kR, R0805
R3, 45.99, 70.56, 180.00, 1kR, R0805
R30, 31.96, 69.10, 0.00, 1kR, R0805
R31, 30.97, 66.07, 90.00, 1kR, R0805
R33, 29.85, 40.47, 0.00, 10kR, R0805
R34, 34.86, 40.47, 0.00, 10kR, R0805
R35, 29.84, 32.73, 270.00, 10kR, R0805
R36, 34.86, 32.73, 270.00, 10kR, R0805
R37, 61.56, 68.79, 90.00, 1kR, R0805
R38, 23.44, 22.44, 0.00, 2kR, R0805
R39, 29.09, 22.44, 0.00, 1kR, R0805
R4, 45.99, 66.48, 0.00, 1kR, R0805
R40, 22.19, 48.49, 90.00, 10kR, R0805
S1, 5.64, 42.09, 180.00, EVP-BFAC1A000SMD, EVP-BFAC1A000
S2, 5.65, 54.96, 180.00, EVP-BFAC1A000SMD, EVP-BFAC1A000
S3, 5.66, 29.85, 180.00, EVP-BFAC1A000SMD, EVP-BFAC1A000
S4, 5.65, 17.74, 180.00, EVP-BFAC1A000SMD, EVP-BFAC1A000
SJ1, 37.76, 48.31, 90.00, , SJ
U$3, 29.96, 59.72, 90.00, MCP4822-E/MS, SOP65P490X110-8N
U1, 30.09, 47.95, 90.00, ATMEGA328PB-AU, QFP80P900X900X120-32N
U5, 38.90, 72.45, 0.00, AD8221ARMZ-RL, SOP65P490X110-8N
